Apellidos	Bodega	Código	Nombre del artículo	Línea	No. de parte	Unidad	Cantidad disponible	Precio	Proveedor	Detalles del artículo
0549010	05	49010	"ESMERILADORA GWS 7-115/4-1/2"" 720W"	VARIOS		CU	0	46800	COFERSA	
0549011	05	49011	"ESMERILADORA BOSCH GWS6-115 4-1/2"""	VARIOS		CU	0	34025	COFERSA	
0549012	05	49012	"TALADRO BOSCH GSB-13RE 1/2"""	VARIOS		CU	0	49325	COFERSA	
0549013	05	49013	TALADRO SKIL 3/8 PERCUTOR 550W	VARIOS		CU	0	26845	COFERSA	
0549014	05	49014	TALADRO BOSCH INAL PERC 1/2 GSB18V-LI	VARIOS		CU	0	175500	COFERSA	
0549015	05	49015	CAMARA TERMOGRAFICA FLK-TIS40	VARIOS		CU	0	2225550	ELVATRON	
0549016	05	49016	TERMOCUPLA C/SONDA FLUKE 80PK-22	VARIOS		CU	0	74500	ELVATRON	
0549017	05	49017	COMPUTADOR DESKTOP C/WINDWS-10 PRO	VARIOS		CU	1	446150	P.C TECHNICAL	
0549018	05	49018	STANDARD CONDUCTIVIDAD 100MS/CM 300ML	VARIOS		CU	0	70745	SCM	
0549019	05	49019	MESA DE TRABAJO METALICA	VARIOS		CU	0	103995	PRICESMART	
0549020	05	49020	FAB PLATAFORMA INOX P/MESA TRABAJO	VARIOS		CU	0	52000	UNIVERSO DEL TORNO	
0549021	05	49021	EPOCRIL GD-SANIT A+B AZUL CIELO LT	VARIOS		LT	0	8820	SUR COLOR	
0549022	05	49022	LAM ACRILICA TRANSP 1.22 X 2.44 X 6MM	VARIOS		LAM	0	73820	PANALPLAST	
0549024	05	49024	"B.SUMERGIBLE,MOTOR,CAJA ARRANQUE,CHECK"	VARIOS		KIT	0	515593.48	ALROYEK	
0549026	05	49026	TRANSOSIL HB HR ALUMINIO GL	VARIOS		GL	0	38285	SUR COLOR	
0549027	05	49027	TRANSOZINC EPOXY A+B+THINNER	VARIOS		KIT	0	78860	SUR COLOR	
0549028	05	49028	TRANSPOXY A+B+THINNER	VARIOS		KIT	0	34410	SUR COLOR	
0549029	05	49029	TRANSURETHANE 9016 A+B+THINNER	VARIOS		KIT	0	48360	SUR COLOR	
0549030	05	49030	TRANSURETHANE 3001 A+B+THINNER	VARIOS		KIT	0	50720	SUR COLOR	
0549031	05	49031	MATERIALES VARIOS EL LAGAR	VARIOS		CU	0	27990	EL LAGAR	
0549032	05	49032	MATERIALES VARIOS DIST FERGAZ	VARIOS		CU	0	35680	DIST FERGAZ	
0570000	05	70000	COMISION BANCARIA	VARIOS		CU	0	17912.32	TECNO	
0570001	05	70001	TRANSPORTE DHL CR/HONDURAS F-132225	VARIOS		CU	0	222219.12	DHL	
